Dialect,序號,詞目,詞性,詞目索引,音讀,音讀（符號）,PFS,PFS輸入式,方言點,釋義,例句,相似詞,相反詞,對應音檔名稱
四縣腔,1,包包㘝㘝, ,"聲母索引/01 四縣/b/au/陰平(1/ˊ/24)
詞目分類索引/表情動作",bau24 bau24 ngiab2 ngiab2,bauˊ bauˊ ngiabˋ ngiabˋ,pâu-pâu-ngiap-ngiap,pau1-pau1-ngiap6-ngiap6,,偷偷摸摸地藏東西。,例：看佢包包㘝㘝，毋知偷拿麼个？(看他偷偷摸摸地在藏東西，不知偷拿什麼？),偷偷㘝㘝　偷偷楔楔　偷偷擸擸, ,　
四縣腔,2,胞衣, ,"聲母索引/01 四縣/b/au/陰平(1/ˊ/24)
詞目分類索引/人體器官
詞目分類索引/疾病醫療",bau24 i24,bauˊ iˊ,pâu-yî,pau1-yi1,,胎盤，包裹胎兒的一層薄膜。,例：狗子一養啊出，狗嫲會煞煞摎厥胞衣舐淨來。(小狗一生出來，母狗會趕緊把牠的胎盤舔乾淨。),紫河車, ,　
四縣腔,3,包山塞海, ,"聲母索引/01 四縣/b/au/陰平(1/ˊ/24)
詞目分類索引/慣用語",bau24 san24 sed2 hoi31,bauˊ sanˊ sedˋ hoiˋ,pâu-sân-set-hói,pau1-san1-set6-hoi3,,形容數量非常多。,例：宮廟做大戲，滿哪都係包山塞海个人，鬧熱煎煎仔。(廟裡演戲酬神，到處人山人海，非常熱鬧。),包山包海　掖蔴掖米　弛崗打陣, ,　
四縣腔,4,崩山, , ,ben24 san24,benˊ sanˊ,pên-sân,pen1-san1,,山崩。　,"落雨過後，該片異輒崩山，愛細義。
下雨過後，那邊經常山崩，要小心。",崩山㪐屻　屙山　推山　, ,　
四縣腔,5,陂塘, ,"聲母索引/01 四縣/b/i/陰平(1/ˊ/24)
詞目分類索引/天文地理",bi24 tong11,biˊ tongˇ,pî-thòng,pi1-thong2,,池塘。人工修築，用以灌溉的蓄水池。,例：屋脣个陂塘肚有當多魚仔，有好食，乜做得看靚。(屋旁的池塘裡有很多魚，有得吃，也可供觀賞。),魚塘　山塘, ,　
四縣腔,6,祕結, ,"詞目分類索引/疾病醫療
聲母索引/01 四縣/b/i/去聲(3/ /55)",bi55 gied2,bi giedˋ,pi-kiet,pi4-kiet6,,便祕。糞便停留在大腸的時間過久，導致乾硬糞便堆積，造成大便不順暢。,例：少食青菜个人較會祕結。(少吃青菜的人比較容易便祕。),熱結　屙硬屎, ,　
四縣腔,7,拚掃, ,"詞目分類索引/表情動作
聲母索引/01 四縣/ng/ia/去聲(3/ /55)",biang55 so55,biang so,piang-so,piang4-so4,,打掃、掃除。,例：阿伯姆當煞猛，日日都摎屋前屋背拚掃到淨淨俐俐。(伯母很勤奮，天天都把屋前屋後打掃得乾乾淨淨。), , ,　
四縣腔,8,變面, ,"詞目分類索引/表情動作
聲母索引/01 四縣/n/ie/去聲(3/ /55)
詞目分類索引/思維心態
詞目分類索引/人際互動",bien55 mien55,bien mien,pien-mien,pien4-mien4,,翻臉。對人的態度突然變壞。,例：佢當難服侍，動啊著就變面。(他很難伺候，動不動就翻臉。),壞面　貶面, ,　
四縣腔,9,發癲, ,"詞目分類索引/疾病醫療
詞目分類索引/思維心態
聲母索引/01 四縣/d/o/陰入(4/ˋ/2)",bod2 dien24,bodˋ dienˊ,pot-tiên,pot6-tien1,,1.發瘋。因神經錯亂而失常。　2.（貶）嘲諷人言行不正常。,"例：佢堪毋得恁多打擊，續發癲吔。(他承受不了這麼多打擊，就發瘋了。)
例：你仰無搭無碓笑到毋會轉聲，發癲抑毋係。(你怎麼無緣無故笑到岔氣，瘋了是不是。)",起癲　癲忒, ,　
四縣腔,10,發夢, ,"詞目分類索引/疾病醫療
聲母索引/01 四縣/d/o/陰入(4/ˋ/2)",bod2 mung55,bodˋ mung,pot-mung,pot6-mung4,,1.作夢。為睡眠時腦細胞活動所產生的一種幻象。　2.比喻空想、幻想。,"例：𠊎昨暗晡當好睡，無麼个有發夢。(我昨晚很好睡，不太作夢。)
例：毋去做頭路就想等愛賺大錢，發夢正得！(不去工作就想著要發財，真是空想！)",2.戇想　2.妄想, ,　
