time,1月10日,1月11日,1月12日,1月13日,1月14日,1月15日,1月16日,1月17日,1月18日,1月19日,1月20日,1月21日,1月22日,1月23日,1月24日,1月25日,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日,2月1日
湖北,41,0,0,0,0,0,4,17,59,77,72,105,69,105,180,323,371,1291,840,1032,1220,1347,1921
浙江,0,0,0,0,0,0,0,0,0,0,0,5,21,17,19,42,24,45,123,132,109,62,62
广东,0,0,0,0,0,0,0,0,0,1,13,12,6,21,25,20,48,42,53,70,82,127,84
河南,0,0,0,0,0,0,0,0,0,0,0,1,4,4,23,51,45,40,38,72,74,70,71
湖南,0,0,0,0,0,0,0,0,0,0,0,1,8,15,19,26,31,43,78,56,55,57,74
安徽,0,0,0,0,0,0,0,0,0,0,0,0,5,10,24,21,10,36,46,48,37,60,43
江西,0,0,0,0,0,0,0,0,0,0,0,2,1,4,11,18,12,24,37,53,78,46,47
重庆,0,0,0,0,0,0,0,0,0,0,0,5,4,18,30,18,35,22,15,18,41,32,24
四川,0,0,0,0,0,0,0,0,0,0,0,2,5,8,13,16,25,21,18,34,35,30,24
山东,0,0,0,0,0,0,0,0,0,0,0,1,5,3,12,18,24,24,34,15,42,24,23
江苏,0,0,0,0,0,0,0,0,0,0,0,2,3,4,9,13,16,23,29,30,39,34,34
上海,0,0,0,0,0,0,0,0,0,0,2,7,7,4,13,7,13,13,14,21,27,25,24
福建,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,17,21,15,11,19,19,24,15
北京,0,0,0,0,0,0,0,0,0,2,3,5,4,8,14,3,28,13,11,23,7,35,27
陕西,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,7,13,11,10,7,24,14,15
广西,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,10,13,5,7,20,9,13,11
河北,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,5,15,15,17,17,14,8
云南,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,5,3,25,7,19,6,7,16
黑龙江,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,9,7,6,16,21,15
辽宁,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,5,5,8,6,5,4,15,4
海南,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,5,9,9,3,3,3,8,6
山西,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,4,7,7,8,4,8,9
甘肃,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,5,5,2,3,6,5
天津,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,4,9,1,3,4,1,9
贵州,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,2,0,3,3,14,9
宁夏,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,1,5,4,5,2
内蒙古,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,2,2,3,2,3,4
新疆,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,3,1,3,1,3
吉林,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,1,5,0,3,6
香港,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,2,2,1,1
台湾,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,3,0,1,1,0
青海,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,2,1,0
澳门,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0
西藏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
全国,,,,,,,,,,,291,440,574,835,1297,1985,2761,4535,5997,7736,9720,11821,14411
